record_id,priority,category,category_zh,title,authors,year,arxiv_id,primary_category,project_role_zh,local_type,local_file,official_url,license_url,pages,bytes,sha256,access_date
P11,B,01_code_agent_workloads,Code Agent工作负载与基准,GraphCoder: Enhancing Repository-Level Code Completion via Code Context Graph-based Retrieval and Language Model,Wei Liu; Ailun Yu; Daoguang Zan; Bo Shen; Wei Zhang; Haiyan Zhao; Zhi Jin; Qianxiang Wang,2024,2406.07003,cs.SE,代码图检索与仓库上下文选择,open_access_pdf,01_open_access_papers/01_code_agent_workloads/11_GraphCoder_Enhancing_Repository_Level_Code_Completion_via_Code_Context_Graph_based_Retrieval.pdf,https://arxiv.org/abs/2406.07003,https://creativecommons.org/licenses/by-nc-sa/4.0/,12,1046059,05df36f027cfe8507276c8fad15c751059898ff095f71e4dccb30d468082d842,2026-08-30
P12,A,01_code_agent_workloads,Code Agent工作负载与基准,ContextBench: A Benchmark for Context Retrieval in Coding Agents,Han Li; Letian Zhu; Bohan Zhang; Rili Feng; Jiaming Wang; Yue Pan; Earl T. Barr; Federica Sarro; Zhaoyang Chu; He Ye,2026,2602.05892,cs.LG,编码Agent上下文检索轨迹诊断,open_access_pdf,01_open_access_papers/01_code_agent_workloads/12_ContextBench_A_Benchmark_for_Context_Retrieval_in_Coding_Agents.pdf,https://arxiv.org/abs/2602.05892,https://creativecommons.org/licenses/by/4.0/,34,12342589,517140a2504959bfb94c7c875f6e80a031e899bc362dcc73c446536b45e18a46,2026-08-30
P13,B,01_code_agent_workloads,Code Agent工作负载与基准,SWE-Explore: Benchmarking How Coding Agents Explore Repositories,Shaoqiu Zhang; Yuhang Wang; Jialiang Liang; Yuling Shi; Wenhao Zeng; Maoquan Wang; Shilin He; Ningyuan Xu; Siyu Ye; Kai Cai; Xiaodong Gu,2026,2606.07297,cs.SE,仓库探索能力与证据定位评测,open_access_pdf,01_open_access_papers/01_code_agent_workloads/13_SWE_Explore_Benchmarking_How_Coding_Agents_Explore_Repositories.pdf,https://arxiv.org/abs/2606.07297,https://creativecommons.org/licenses/by-nc-nd/4.0/,20,875316,b06d9e16e8c444ce7214f2bc5d117bd0c7691ad5878b515fa353cfe5b3d78a12,2026-08-30
P14,B,01_code_agent_workloads,Code Agent工作负载与基准,SWE-EVO: Benchmarking Coding Agents in Long-Horizon Software Evolution Scenarios,Tue Le; Minh V. T. Thai; Dung Nguyen Manh; Huy Phan Nhat; Nghi D. Q. Bui,2025,2512.18470,cs.SE,长周期软件演化Agent基准,official_link,02_paper_links/01_code_agent_workloads/14_SWE_EVO_Benchmarking_Coding_Agents_in_Long_Horizon_Software_Evolution_Scenarios.url,https://arxiv.org/abs/2512.18470,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,,56,8d21bd390d31713d784ea7ad16cc3a1a03f478d03e7c8fece29e38ade049e890,2026-08-30
P15,A,01_code_agent_workloads,Code Agent工作负载与基准,Don't Break the Cache: An Evaluation of Prompt Caching for Long-Horizon Agentic Tasks,Elias Lumer; Faheem Nizar; Akshaya Jangiti; Kevin Frank; Anmol Gulati; Mandar Phadate; Vamse Kumar Subbiah,2026,2601.06007,cs.CL,长周期Agent Prompt缓存成本评测,open_access_pdf,01_open_access_papers/01_code_agent_workloads/15_Don_t_Break_the_Cache_An_Evaluation_of_Prompt_Caching_for_Long_Horizon_Agentic_Tasks.pdf,https://arxiv.org/abs/2601.06007,https://creativecommons.org/licenses/by/4.0/,16,1247136,a8906ab6bb45dc81fd42c37fa97957d7275fa7ebb4354ffecc3e237879942af0,2026-08-30
P16,B,01_code_agent_workloads,Code Agent工作负载与基准,Reducing Cost of LLM Agents with Trajectory Reduction,Yuan-An Xiao; Pengfei Gao; Chao Peng; Yingfei Xiong,2025,2509.23586,cs.SE,Agent轨迹缩减与成本控制,official_link,02_paper_links/01_code_agent_workloads/16_Reducing_Cost_of_LLM_Agents_with_Trajectory_Reduction.url,https://arxiv.org/abs/2509.23586,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,,56,e59c6bf67098f21517acf7113061c357522bf542d935e45ccbe7d393f8bd770f,2026-08-30
P17,B,01_code_agent_workloads,Code Agent工作负载与基准,SWE-bench Multimodal: Do AI Systems Generalize to Visual Software Domains?,John Yang; Carlos E. Jimenez; Alex L. Zhang; Kilian Lieret; Joyce Yang; Xindi Wu; Ori Press; Niklas Muennighoff; Gabriel Synnaeve; Karthik R. Narasimhan; Diyi Yang; Sida I. Wang; Ofir Press,2024,2410.03859,cs.CL,多模态软件工程任务扩展,open_access_pdf,01_open_access_papers/01_code_agent_workloads/17_SWE_bench_Multimodal_Do_AI_Systems_Generalize_to_Visual_Software_Domains.pdf,https://arxiv.org/abs/2410.03859,https://creativecommons.org/licenses/by/4.0/,36,4379827,4fa09c3734547e8ba4a5288e7e8d9273d1136c70295e4f91ef3592df0ead2a71,2026-08-30
P18,B,01_code_agent_workloads,Code Agent工作负载与基准,LongCLI-Bench: A Preliminary Benchmark and Study for Long-horizon Agentic Programming in Command-Line Interfaces,Yukang Feng; Jianwen Sun; Zelai Yang; Jiaxin Ai; Chuanhao Li; Zizhen Li; Fanrui Zhang; Kang He; Rui Ma; Jifan Lin; Jie Sun; Yang Xiao; Sizhuo Zhou; Wenxiao Wu; Yiming Liu; Pengfei Liu; Yu Qiao; Shenglin Zhang; Kaipeng Zhang,2026,2602.14337,cs.SE,长时命令行编码Agent工作负载,open_access_pdf,01_open_access_papers/01_code_agent_workloads/18_LongCLI_Bench_A_Preliminary_Benchmark_and_Study_for_Long_horizon_Agentic_Programming_in_Comm.pdf,https://arxiv.org/abs/2602.14337,https://creativecommons.org/licenses/by-sa/4.0/,11,2291831,0bfe8e96674d099524a9aaaef0d9fde0642cf61104998f7cdb6539eb56b07fc2,2026-08-30
P19,B,01_code_agent_workloads,Code Agent工作负载与基准,"Training Long-Context, Multi-Turn Software Engineering Agents with Reinforcement Learning",Alexander Golubev; Maria Trofimova; Sergei Polezhaev; Ibragim Badertdinov; Maksim Nekrashevich; Anton Shevtsov; Simon Karasik; Sergey Abramov; Andrei Andriushchenko; Filipp Fisin; Sergei Skvortsov; Boris Yangel,2025,2508.03501,cs.LG,长上下文多轮软件工程Agent训练,open_access_pdf,01_open_access_papers/01_code_agent_workloads/19_Training_Long_Context_Multi_Turn_Software_Engineering_Agents_with_Reinforcement_Learning.pdf,https://arxiv.org/abs/2508.03501,https://creativecommons.org/licenses/by/4.0/,25,1186586,208a879ee73b7ae490a4791a922539156b160ee1a7fd37a651d10896eb274361,2026-08-30
P20,B,01_code_agent_workloads,Code Agent工作负载与基准,SWE-smith: Scaling Data for Software Engineering Agents,John Yang; Kilian Lieret; Carlos E. Jimenez; Alexander Wettig; Kabir Khandpur; Yanzhe Zhang; Binyuan Hui; Ofir Press; Ludwig Schmidt; Diyi Yang,2025,2504.21798,cs.SE,可规模化软件工程任务生成,open_access_pdf,01_open_access_papers/01_code_agent_workloads/20_SWE_smith_Scaling_Data_for_Software_Engineering_Agents.pdf,https://arxiv.org/abs/2504.21798,https://creativecommons.org/licenses/by-sa/4.0/,46,3613659,6752df853569104ae2e55cc1bee09dc3f6b335f7eeae300b6e9fee911f3f2897,2026-08-30
P21,A,02_prefix_and_context_reuse,前缀缓存与上下文复用,Efficient Memory Management for Large Language Model Serving with PagedAttention,Woosuk Kwon; Zhuohan Li; Siyuan Zhuang; Ying Sheng; Lianmin Zheng; Cody Hao Yu; Joseph E. Gonzalez; Hao Zhang; Ion Stoica,2023,2309.06180,cs.LG,PagedAttention与GPU KV内存管理基线,open_access_pdf,01_open_access_papers/02_prefix_and_context_reuse/21_Efficient_Memory_Management_for_Large_Language_Model_Serving_with_PagedAttention.pdf,https://arxiv.org/abs/2309.06180,https://creativecommons.org/licenses/by/4.0/,16,1459631,55b3b324d779a67c59dac2519445e3b07c14e6ff5c656fadb47a3d7b5997469e,2026-08-30
P22,A,02_prefix_and_context_reuse,前缀缓存与上下文复用,SGLang: Efficient Execution of Structured Language Model Programs,Lianmin Zheng; Liangsheng Yin; Zhiqiang Xie; Chuyue Sun; Jeff Huang; Cody Hao Yu; Shiyi Cao; Christos Kozyrakis; Ion Stoica; Joseph E. Gonzalez; Clark Barrett; Ying Sheng,2023,2312.07104,cs.AI,RadixAttention与结构化生成复用基线,official_link,02_paper_links/02_prefix_and_context_reuse/22_SGLang_Efficient_Execution_of_Structured_Language_Model_Programs.url,https://arxiv.org/abs/2312.07104,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,,56,273b0eebabb1da4a89d05825925138cb86095e99f8e0742ded2dfeaba57c2bf2,2026-08-30
P23,A,02_prefix_and_context_reuse,前缀缓存与上下文复用,Prompt Cache: Modular Attention Reuse for Low-Latency Inference,In Gim; Guojun Chen; Seung-seob Lee; Nikhil Sarda; Anurag Khandelwal; Lin Zhong,2023,2311.04934,cs.CL,模块化Prompt缓存与位置处理,official_link,02_paper_links/02_prefix_and_context_reuse/23_Prompt_Cache_Modular_Attention_Reuse_for_Low_Latency_Inference.url,https://arxiv.org/abs/2311.04934,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,,56,51d9f2aee11a6326183c3a72ca04969f6cbb9b5996fa11a08b753d09c7788e77,2026-08-30
P24,A,02_prefix_and_context_reuse,前缀缓存与上下文复用,ChunkAttention: Efficient Self-Attention with Prefix-Aware KV Cache and Two-Phase Partition,Lu Ye; Ze Tao; Yong Huang; Yang Li,2024,2402.15220,cs.LG,前缀感知共享与注意力内核,open_access_pdf,01_open_access_papers/02_prefix_and_context_reuse/24_ChunkAttention_Efficient_Self_Attention_with_Prefix_Aware_KV_Cache_and_Two_Phase_Partition.pdf,https://arxiv.org/abs/2402.15220,https://creativecommons.org/licenses/by/4.0/,13,759141,7201aa42e0f0020c5c9bdc5603f8dd16ca5051bdd0dc9441e12e82afafb6ff8a,2026-08-30
P25,A,02_prefix_and_context_reuse,前缀缓存与上下文复用,CacheBlend: Fast Large Language Model Serving for RAG with Cached Knowledge Fusion,Jiayi Yao; Hanchen Li; Yuhan Liu; Siddhant Ray; Yihua Cheng; Qizheng Zhang; Kuntai Du; Shan Lu; Junchen Jiang,2024,2405.16444,cs.LG,非前缀缓存融合与选择性重计算,open_access_pdf,01_open_access_papers/02_prefix_and_context_reuse/25_CacheBlend_Fast_Large_Language_Model_Serving_for_RAG_with_Cached_Knowledge_Fusion.pdf,https://arxiv.org/abs/2405.16444,https://creativecommons.org/licenses/by/4.0/,16,1574337,034b9f230930f20ed23fc7dc17bbdf3fee0a9ff11c928563904bce34ec2e98e6,2026-08-30
P26,A,02_prefix_and_context_reuse,前缀缓存与上下文复用,EPIC: Efficient Position-Independent Caching for Serving Large Language Models,Junhao Hu; Wenrui Huang; Weidong Wang; Haoyi Wang; Tiancheng Hu; Qin Zhang; Hao Feng; Xusheng Chen; Yizhou Shan; Tao Xie,2024,2410.15332,cs.LG,位置无关缓存与线性边界修复,official_link,02_paper_links/02_prefix_and_context_reuse/26_EPIC_Efficient_Position_Independent_Caching_for_Serving_Large_Language_Models.url,https://arxiv.org/abs/2410.15332,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,,56,672fa1334a40a1c0b04d6b4eb2f99bd836e8d096be5496bd7174108a77301b4d,2026-08-30
P27,B,02_prefix_and_context_reuse,前缀缓存与上下文复用,MPIC: Position-Independent Multimodal Context Caching System for Efficient MLLM Serving,Shiju Zhao; Junhao Hu; Rongxiao Huang; Jiaqi Zheng; Guihai Chen,2025,2502.01960,cs.LG,多模态位置无关上下文缓存,open_access_pdf,01_open_access_papers/02_prefix_and_context_reuse/27_MPIC_Position_Independent_Multimodal_Context_Caching_System_for_Efficient_MLLM_Serving.pdf,https://arxiv.org/abs/2502.01960,https://creativecommons.org/licenses/by/4.0/,17,1177991,90dfc740eb0a30040aa4714236bc1a41c67e2495b2bce7ccfc960f7072c90d33,2026-08-30
P28,B,02_prefix_and_context_reuse,前缀缓存与上下文复用,KV Packet: Recomputation-Free Context-Independent KV Caching for LLMs,Chuangtao Chen; Grace Li Zhang; Xunzhao Yin; Cheng Zhuo; Bing Li; Ulf Schlichtmann,2026,2604.13226,cs.LG,免重计算的上下文无关KV缓存,official_link,02_paper_links/02_prefix_and_context_reuse/28_KV_Packet_Recomputation_Free_Context_Independent_KV_Caching_for_LLMs.url,https://arxiv.org/abs/2604.13226,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,,56,896001d97969467309e442bffacd93d8302fd4f56068877b2d4f67a5f1a2e09a,2026-08-30
P29,B,02_prefix_and_context_reuse,前缀缓存与上下文复用,MEPIC: Memory Efficient Position Independent Caching for LLM Serving,Qian Wang; Zahra Yousefijamarani; Morgan Lindsay Heisler; Rongzhi Gu; Bai Xiaolong; Shan Yizhou; Wei Zhang; Wang Lan; Ying Xiong; Yong Zhang; Zhenan Fan,2025,2512.16822,cs.LG,内存高效位置无关缓存,open_access_pdf,01_open_access_papers/02_prefix_and_context_reuse/29_MEPIC_Memory_Efficient_Position_Independent_Caching_for_LLM_Serving.pdf,https://arxiv.org/abs/2512.16822,https://creativecommons.org/licenses/by-nc-nd/4.0/,27,1600247,dd8df8557fa40ec27ccc441ccfbdaacc2c36d562a0f93cdd7b5ac57bc9fbbb07,2026-08-30
P30,A,02_prefix_and_context_reuse,前缀缓存与上下文复用,Irminsul: MLA-Native Position-Independent Caching for Agentic LLM Serving,Bole Ma; Jan Eitzinger; Harald Köstler,2026,2605.05696,cs.DC,面向Agent的MLA原生位置无关缓存,open_access_pdf,01_open_access_papers/02_prefix_and_context_reuse/30_Irminsul_MLA_Native_Position_Independent_Caching_for_Agentic_LLM_Serving.pdf,https://arxiv.org/abs/2605.05696,https://creativecommons.org/licenses/by/4.0/,16,827763,4dc6d6ec32023de7fca7ce2d87355d1decce62d545ed107c4d1b2a41e16079da,2026-08-30
P31,B,02_prefix_and_context_reuse,前缀缓存与上下文复用,SparseX: Efficient Segment-Level KV Cache Sharing for Interleaved LLM Serving,Quqing Zhang; Kai Chen; Ning Liao; Zehao Lin; Bo Tang; Feiyu Xiong; Zhiyu Li; Xiaoxing Wang,2026,2606.01751,cs.PF,段级跨请求KV共享,official_link,02_paper_links/02_prefix_and_context_reuse/31_SparseX_Efficient_Segment_Level_KV_Cache_Sharing_for_Interleaved_LLM_Serving.url,https://arxiv.org/abs/2606.01751,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,,56,1e38bfc6add2d9c96e8bfd2550ded54d4a09cc0a038571a89375106c071c5f92,2026-08-30
P32,B,02_prefix_and_context_reuse,前缀缓存与上下文复用,KVBoost: Chunk-Level Key-Value Cache Reuse with Deviation-Guided Recomputation for Efficient Large Language Model Inference,Srihari Unnikrishnan,2026,2608.21362,cs.AI,任意位置分块KV复用与修复策略,open_access_pdf,01_open_access_papers/02_prefix_and_context_reuse/32_KVBoost_Chunk_Level_Key_Value_Cache_Reuse_with_Deviation_Guided_Recomputation_for_Efficient.pdf,https://arxiv.org/abs/2608.21362,https://creativecommons.org/licenses/by/4.0/,10,548096,24509310f370d392f9bb62c615f8c84d589c8aa11064dfad39c39c06c22b4802,2026-08-30
P33,B,02_prefix_and_context_reuse,前缀缓存与上下文复用,KVShare: An LLM Service System with Efficient and Effective Multi-Tenant KV Cache Reuse,Huan Yang; Renji Zhang; Mingzhe Huang; Weijun Wang; Yin Tang; Yuanchun Li; Yunxin Liu; Deyu Zhang,2025,2503.16525,cs.CL,多租户自适应长度KV共享,official_link,02_paper_links/02_prefix_and_context_reuse/33_KVShare_An_LLM_Service_System_with_Efficient_and_Effective_Multi_Tenant_KV_Cache_Reuse.url,https://arxiv.org/abs/2503.16525,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,,56,43c232fc8475b705db3119bfd76be640895fc993b035793b596b3c5163a9850e,2026-08-30
P34,A,02_prefix_and_context_reuse,前缀缓存与上下文复用,Compute Or Load KV Cache? Why Not Both?,Shuowei Jin; Xueshen Liu; Qingzhao Zhang; Z. Morley Mao,2024,2410.03065,cs.LG,读取缓存与重计算并行的收益边界,official_link,02_paper_links/02_prefix_and_context_reuse/34_Compute_Or_Load_KV_Cache_Why_Not_Both.url,https://arxiv.org/abs/2410.03065,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,,56,3c59560bcea7537fd5e7ba1dbfb8b0cc623bfbdad112da06454d1516bdea1fb2,2026-08-30
P35,A,03_hierarchical_and_disaggregated,分层存储与解耦推理,MemServe: Context Caching for Disaggregated LLM Serving with Elastic Memory Pool,Cunchen Hu; Heyang Huang; Junhao Hu; Jiang Xu; Xusheng Chen; Tao Xie; Chenxi Wang; Sa Wang; Yungang Bao; Ninghui Sun; Yizhou Shan,2024,2406.17565,cs.DC,分布式弹性内存池与跨实例缓存,open_access_pdf,01_open_access_papers/03_hierarchical_and_disaggregated/35_MemServe_Context_Caching_for_Disaggregated_LLM_Serving_with_Elastic_Memory_Pool.pdf,https://arxiv.org/abs/2406.17565,https://creativecommons.org/licenses/by/4.0/,14,1093081,a3023cef82e7ba13bdf389a9c8c25a74cfb8c985f35a22321821f9f64a1d8cc3,2026-08-30
P36,A,03_hierarchical_and_disaggregated,分层存储与解耦推理,DistServe: Disaggregating Prefill and Decoding for Goodput-optimized Large Language Model Serving,Yinmin Zhong; Shengyu Liu; Junda Chen; Jianbo Hu; Yibo Zhu; Xuanzhe Liu; Xin Jin; Hao Zhang,2024,2401.09670,cs.DC,Prefill与Decode解耦系统基线,open_access_pdf,01_open_access_papers/03_hierarchical_and_disaggregated/36_DistServe_Disaggregating_Prefill_and_Decoding_for_Goodput_optimized_Large_Language_Model_Ser.pdf,https://arxiv.org/abs/2401.09670,https://creativecommons.org/licenses/by-sa/4.0/,18,647352,3ef8776301629419e97d7f6dc08b9a46f3577e05e96538a17dd4a526762f42f0,2026-08-30
P37,A,03_hierarchical_and_disaggregated,分层存储与解耦推理,CacheGen: KV Cache Compression and Streaming for Fast Large Language Model Serving,Yuhan Liu; Hanchen Li; Yihua Cheng; Siddhant Ray; Yuyang Huang; Qizheng Zhang; Kuntai Du; Jiayi Yao; Shan Lu; Ganesh Ananthanarayanan; Michael Maire; Henry Hoffmann; Ari Holtzman; Junchen Jiang,2023,2310.07240,cs.NI,KV压缩流式传输与带宽自适应,official_link,02_paper_links/03_hierarchical_and_disaggregated/37_CacheGen_KV_Cache_Compression_and_Streaming_for_Fast_Large_Language_Model_Serving.url,https://arxiv.org/abs/2310.07240,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,,56,5fc9479fc1657111ea41d03af277ef718442e3d769ff47a4d98e5afcb552462a,2026-08-30
P38,A,03_hierarchical_and_disaggregated,分层存储与解耦推理,LMCache: An Efficient KV Cache Layer for Enterprise-Scale LLM Inference,Yuhan Liu; Yihua Cheng; Jiayi Yao; Yuwei An; Xiaokun Chen; Shaoting Feng; Yuyang Huang; Samuel Shen; Rui Zhang; Kuntai Du; Junchen Jiang,2025,2510.09665,cs.LG,跨引擎跨请求企业级KV缓存层,open_access_pdf,01_open_access_papers/03_hierarchical_and_disaggregated/38_LMCache_An_Efficient_KV_Cache_Layer_for_Enterprise_Scale_LLM_Inference.pdf,https://arxiv.org/abs/2510.09665,https://creativecommons.org/licenses/by/4.0/,19,799013,a1b6a90258c7e9091f24603ca4cff85f9f47410be10f5de89b7f902a2d3f6417,2026-08-30
P39,A,03_hierarchical_and_disaggregated,分层存储与解耦推理,Strata: Hierarchical Context Caching for Long Context Language Model Serving,Zhiqiang Xie; Ziyi Xu; Mark Zhao; Yuwei An; Vikram Sharma Mailthody; Scott Mahlke; Michael Garland; Christos Kozyrakis,2025,2508.18572,cs.DC,HBM DRAM SSD分层上下文缓存,open_access_pdf,01_open_access_papers/03_hierarchical_and_disaggregated/39_Strata_Hierarchical_Context_Caching_for_Long_Context_Language_Model_Serving.pdf,https://arxiv.org/abs/2508.18572,https://creativecommons.org/licenses/by/4.0/,13,1697730,f06c020e6586d37507f56e8f8c6b488423afda8e6a84af8a0ee9dbd8909ed2fd,2026-08-30
P40,B,03_hierarchical_and_disaggregated,分层存储与解耦推理,Tutti: Making SSD-Backed KV Cache Practical for Long-Context LLM Serving,Shi Qiu; Yifan Hu; Xintao Wang; Wenhao Zhu; Jianqin Yan; Hao Chen; Kaiqiang Xu; Kai Chen; Yiming Zhang,2026,2605.03375,cs.OS,SSD支撑KV缓存的数据布局优化,official_link,02_paper_links/03_hierarchical_and_disaggregated/40_Tutti_Making_SSD_Backed_KV_Cache_Practical_for_Long_Context_LLM_Serving.url,https://arxiv.org/abs/2605.03375,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,,56,903dc73029f333a8af10f7b0bb14230954bb6afc869cab0c2126c90edaa42ade,2026-08-30
